Generation, Best Fitness, Average Fitness, Average Size
0, 197589.04109589037, 31300555.890410956, 4.6
1, 197589.04109589037, 4456595.342465754, 4.82
2, 98750, 4311422.535526492, 5.4
3, 95000, 2533951.6552999024, 6.14
4, 90000, 1344674.5055675423, 6.15
5, 90000, 707447.9207283035, 7.57
6, 90000, 3193431.333333333, 8.21
7, 90000, 247460390, 8.23
8, 90000, 638490, 7.56
9, 90000, 2173150, 7.81
10, 90000, 609820, 5.22
11, 90000, 2631950, 5.58
12, 90000, 1110450, 5.11
13, 90000, 1639800, 4.23
14, 90000, 183400, 4.4
15, 90000, 1196440, 4.73
16, 90000, 1636310, 4.77
17, 90000, 1391630, 4.93
18, 90000, 635740, 4.39
19, 90000, 114920, 4.2
20, 90000, 2137520, 4.08
21, 90000, 625320, 4.03
22, 90000, 2378900, 4.02
23, 90000, 886980, 4.03
24, 90000, 1110270, 4.04
25, 90000, 1128850, 4.02
26, 90000, 1100870, 4.04
27, 90000, 594050, 4.01
28, 90000, 660840, 4.02
29, 90000, 655200, 4.01
30, 90000, 1381670, 4.06
31, 90000, 1128470, 4.04
32, 90000, 615100, 4.03
33, 90000, 655140, 4.05
34, 90000, 113100, 4.04
35, 90000, 1650750, 4.03
36, 90000, 616450, 4.01
37, 90000, 122440, 4.02
38, 90000, 616720, 4.04
39, 90000, 609810, 4.04
40, 90000, 1858250, 4.07
41, 90000, 1662920, 4.07
42, 90000, 598350, 4.03
43, 90000, 624590, 4.02
44, 90000, 1636800, 4.06
45, 90000, 615270, 4.04
46, 90000, 898690, 4.04
47, 90000, 624100, 4.03
48, 90000, 1371250, 4.02
49, 90000, 1097140, 4
50, 90000, 1118490, 4.02
51, 90000, 605450, 4.03
52, 90000, 609310, 4.05
53, 90000, 1372520, 4.06
54, 90000, 617460, 4.03
55, 90000, 1620350, 4.02
56, 90000, 590710, 4
57, 90000, 1111020, 4.02
58, 90000, 1146150, 4.04
59, 90000, 2639500, 4.02
60, 90000, 1137360, 4.02
61, 90000, 1359050, 4.03
62, 90000, 159440, 4.01
63, 90000, 1115350, 4.04
64, 90000, 133250, 4.02
65, 90000, 1092600, 4.03
66, 90000, 626860, 4.05
67, 90000, 106200, 4.01
68, 90000, 650620, 4.06
69, 90000, 1600690, 4.01
70, 90000, 1153710, 4.02
71, 90000, 869620, 4.03
72, 90000, 2101550, 4.03
73, 90000, 1654800, 4.07
74, 90000, 140400, 4.02
75, 90000, 1617440, 4.04
76, 90000, 1622650, 4.05
77, 90000, 3648570, 4.06
78, 90000, 154250, 4
79, 90000, 609490, 4
80, 90000, 145390, 4.03
81, 90000, 1660950, 4.04
82, 90000, 1399400, 4.07
83, 90000, 876826.0317460318, 4.03
84, 90000, 680550, 4.06
85, 90000, 1675750, 4.08
86, 90000, 1144270, 4.07
87, 90000, 2130070, 4.04
88, 90000, 872760, 4.02
89, 90000, 611010, 4.01
90, 90000, 109300, 4.01
91, 90000, 1156940, 4.04
92, 90000, 139540, 4.01
93, 90000, 3091650, 4.04
94, 90000, 1105170, 4.03
95, 90000, 174590, 4.05
96, 90000, 1621030, 4.04
97, 90000, 1108200, 4.04
98, 90000, 1149450, 4.03
99, 90000, 1118970, 4.05
100, 90000, 150240, 4.03
