Generation, Best Fitness, Average Fitness, Average Size
0, 1999800, 25871249, 4.73
1, 1999800, 9759917.76724138, 5.3
2, 1999800, 8549820.5, 5.08
3, 1999800, 7569834, 5.06
4, 1499850, 7564837, 5.4
5, 1499850, 7789821, 5.76
6, 1499850, 11414862.416666664, 6.11
7, 1499850, 7729827.690476191, 5.95
8, 1499850, 8001849.8, 5.2
9, 1499850, 7689901.5, 5.17
10, 1499850, 13189861.5, 5.07
11, 1499850, 8489851, 5.16
12, 1499850, 6479852, 5.07
13, 1499850, 11864903, 5.24
14, 1499850, 12864874, 5.23
15, 1499850, 10184902, 5.22
16, 1499850, 11139905.5, 5.29
17, 1499850, 10584866.5, 5.37
18, 1499850, 10894882, 5.37
19, 1499850, 8969894.5, 5.41
20, 1499850, 10649878.5, 5.48
21, 1499850, 8909859, 5.42
22, 1499850, 9424857.5, 5.29
23, 1499850, 11194874.5, 5.31
24, 1499850, 8992947.7, 5.31
25, 1499850, 261929922, 5.62
26, 1499850, 7744948.4, 5.43
27, 1499850, 11109882, 5.39
28, 1499850, 11175056.5, 5.33
29, 1499850, 7174857.5, 5.61
30, 1499850, 132949897.5, 5.54
31, 1499850, 10139861.5, 5.65
32, 1499850, 10624863, 5.93
33, 1499850, 9894887.5, 5.95
34, 1499850, 9374863, 5.95
35, 1499850, 13139888.5, 6.07
36, 1499850, 6499850, 6.07
37, 1499850, 6734858.5, 6.12
38, 1499850, 8244857.5, 6.08
39, 1499850, 9179857, 6.08
40, 1499850, 9924857.5, 6.02
41, 1499850, 257704854.97333333, 6.07
42, 1499850, 10159896, 6.05
43, 1499850, 6694876.5, 6
44, 1499850, 10679919, 6.17
45, 1499850, 9159871, 6
46, 1499850, 132964854.5, 6.17
47, 1499850, 381474929.5, 6.13
48, 1499850, 4994850.5, 6.08
49, 1499850, 10894902.5, 6.2
50, 1499850, 9434897.5, 6.13
51, 1499850, 11599919, 6.25
52, -0, 263599955.69354838, 6.12
