Generation, Best Fitness, Average Fitness, Average Size
0, 25001999800, 74125864171.5153, 4.7
1, 25001502450, 42126513603.06633, 5.01
2, 25001502450, 36001620246.5, 5.08
3, 25001499850, 65626738276.25, 5.185
4, 25001499850, 35126673598.25, 5.09
5, 25001499850, 35126724968, 5.085
6, 25001499850, 33376724091, 5.1
7, 25001499850, 63876719868, 5.095
8, 2049800, 75251809964.25, 5.145
9, 1999800, 27626883544.5, 5.81
10, 1999800, 12001875444.75, 7.19
11, 1999800, 58627551386.854385, 7.425
12, 1999800, 6376902712.25, 7.485
13, 1999800, 70127048846.2766, 7.65
14, 1999800, 9876820862.25, 7.535
15, 1999800, 8752343571, 7.72
16, 1999800, 8626811445.75, 7.595
17, 1999800, 41251914443.92392, 7.37
18, 1999800, 6876860621.5, 7.51
19, 1999800, 6876955825.25, 7.7
20, 1999800, 8001843941.5, 7.545
21, 1999800, 20501889084.75, 7.385
22, 1999800, 32427055201.225, 7.4
23, 1999800, 31626905699.5, 7.46
24, 1999800, 59877083105.25, 7.685
25, 1999800, 5626880942.25, 7.495
26, 1999800, 4751921558.25, 7.515
27, 1999800, 39251904206.25, 7.45
28, 1999800, 7626987568.25, 7.475
29, 1999800, 93126985290.75, 7.38
30, 1999800, 70377031110.45, 7.225
31, 1999800, 38251921849.25, 7.125
32, 1999800, 47501954941, 7.18
33, 1999800, 26501923333, 7.175
34, 1999800, 46751996961, 7.16
35, 1999800, 7126841691.25, 7.245
36, 1999800, 49376965561.25, 7.19
37, 1999800, 22126876442.614864, 7.26
38, 1999800, 40126874349.25, 7.18
39, 1999800, 6626881074.987832, 7.175
40, 1999800, 11226825619.5, 7.13
41, 1999800, 6376861189.5, 7.17
42, 1999800, 9026785195.475, 7.135
43, 1999800, 50001867322.75, 7.065
44, 1999800, 8376852089.25, 7.035
45, 1999800, 71251942440.6, 7.065
46, 1999800, 8627081942, 7.095
47, 1999800, 50751843822, 7.035
48, 1999800, 8501906330.5, 7.035
49, 1999800, 6626985445.5, 7.05
50, 1999800, 9001802070.25, 7.05
51, 1999800, 8126851731.25, 7.055
52, 1999800, 8126854568, 7.085
53, 1999800, 49876935704.75, 7.15
54, 1999800, 8001968691.25, 7.135
55, 1999800, 9751833567.25, 7.12
56, 1999800, 8376857446.75, 7.09
57, 1999800, 60377018451.5, 7.135
58, 1999800, 9876781114, 7.14
59, 1999800, 21377085477, 7.2
60, 1999800, 61501856025.3, 7.28
61, 1999800, 9751955824.25, 7.295
62, 1999800, 8626906860, 7.285
63, 1999800, 7501852079.75, 7.375
64, 1999800, 33251900334, 7.34
65, 1999800, 45751922340, 7.345
66, 1999800, 72877345332.5, 7.405
67, 1999800, 8626822590.75, 7.425
68, 1574850, 29002153721.25, 7.44
69, 1524850, 53376951722, 7.59
70, 1428428.5714285714, 44126858302.58572, 7.855
71, 1428428.5714285714, 7252326173.650002, 8.51
72, 1428428.5714285714, 38751544571.77858, 8.855
73, 1357007.1428571432, 7626442958.292873, 8.875
74, 1357007.1428571432, 38251938175.50712, 8.93
75, 1357007.1428571432, 39502144141.621414, 9.045
76, 1357007.1428571432, 7251601373.407139, 9.2
77, 1357007.1428571432, 12001426666.814297, 9.505
78, 1214164.2857142852, 6501369920.921423, 9.605
79, 1071321.4285714286, 49127387718.57637, 10.215
80, 71421.42857142861, 9651564712.562613, 10.685
81, 71421.42857142861, 26251396556.807198, 11.085
82, 71421.42857142861, 8251642656.788373, 10.93
83, 25000, 29126036540.148468, 10.875
84, 25000, 134926752607.88184, 9.795
85, 25000, 8125915349.67855, 9.215
86, 20268.243243243178, 11500603621.626919, 9.28
87, 200, 14250828781.229633, 9.475
88, -0, 7750929793.684073, 9.605
