Generation, Best Fitness, Average Fitness, Average Size
0, 9023200090, 30991360784.458694, 4.7
1, 8998200180, 14973862524.25, 4.9
2, 8998200090, 16442286729.575, 5.32
3, 8998200090, 15289121208.112726, 5.675
4, 8998200090, 266568113255.81274, 6.87
5, 8998200090, 285627426613.25, 7.235
6, 8998200090, 110330434153, 7.46
7, 8998200090, 77657869154.35, 7.475
8, 8998200090, 119876550126.9, 7.55
9, 8998200090, 16090532117.45, 7.69
10, 8998200090, 175015997110.25, 7.66
11, 8998200090, 420192987135, 7.72
12, 8998200090, 15350255103.5, 7.79
13, 8998200090, 14869701190.35, 7.935
14, 8998200090, 16751425146.25, 8.255
15, 8998200090, 78135276330.45, 8.12
16, 8998200090, 15359728190.8, 7.865
17, 8998200090, 77761523396, 7.935
18, 8998200090, 48752925257.85, 7.395
19, 8998200090, 15030095630.8, 7.5
20, 8998200090, 76655469473.4, 7.77
21, 8998200090, 93976255118.46611, 7.57
22, 8998200090, 13824210181.8, 7.685
23, 8998200090, 113564987298.35, 7.845
24, 8998200090, 42610103148.5, 7.92
25, 8998200090, 15395247670.85, 7.85
26, 8998200090, 14155844083.25, 7.96
27, 8998200090, 108611603161.1, 8.205
28, 8998200090, 74925147157.38214, 8.065
29, 8741108658.857143, 46563826637.344284, 8.27
30, 8741108658.857143, 15313826643.644287, 8.26
31, 8741108658.857143, 37170005685.94429, 8.045
32, 8741108658.857143, 48499221177.79429, 8.405
33, 8741108658.857143, 44493255171.188576, 8.665
34, 8741108658.857143, 14312541202.238571, 8.69
35, 8741108658.857143, 14648400398.453571, 8.255
36, 8741108658.857143, 28966196255.164288, 8.555
37, -0, 14122203799.214998, 8.605
