Generation, Avg Fitness, Best Fitness, Avg Size
0, 130957.84238199673, 71716.56441011613, 6.98714
1, 130480.69017300455, 68196.01877013572, 7.52534
2, 130383.35945894077, 42116.54600597059, 9.03062
3, 130068.15365625561, 42116.54600597059, 11.13504
4, 129480.13245389912, 42116.54600597059, 13.93195
5, 128650.15599831766, 12061.209464695854, 18.00173
6, 134155.3402404745, 8501.347999999994, 23.30232
7, 153436.990782704, 8356.155217818174, 29.23746
8, 196296.34574461202, 4475.513336782803, 35.22394
9, 271100.26658765867, 4285.686843495592, 40.78601
10, 464546.6783234965, 1499.8936641070786, 45.19605
11, 1500546.1904842202, 1315.1777624128335, 49.87704
12, 5.416144554521451E7, 1315.1777624128335, 55.78665
13, 8.871635033711553E7, 984.8753195810972, 62.97711
14, 7.834729092234772E7, 939.8852728208585, 70.44632
15, 6.279802804735992E7, 900.6082449345107, 78.61054
16, 1.6412347010036376E8, 816.0159475444107, 88.8697
17, 2413233.5245508794, 816.0159475444107, 103.81458
18, 6330873.595486151, 587.4329151082807, 122.16156
19, 7729542.424376261, 552.1902171548254, 140.77362
20, 4.033340108528604E7, 483.57635447854915, 153.67461
21, 1.4301926213973278E7, 483.576332967742, 165.41495
22, 3.5478983427203946E9, 386.3842712562224, 185.61436
23, 1.5278148690466576E9, 381.5266249874369, 212.81201
